Colony_ID,Treatment,Time_point,Video_id,Video_length_min,Time,Crab_interactions,Fish_bites,Notes,,,,,,
199,W,T4,3,17.4,,0,0,,,,,,,
199,W,T4,4,4.1,,0,0,,,,,,,
240,NW,T2,1,11.8,9:59:05,0,1,Also a kinds bad angle on this one. Mainly Padina. Yellow damsel guy I think took a bite ,,,,,,
240,NW,T2,1,11.8,10:01:55,0,2,,,,,,,
240,NW,T2,2,11.8,,0,0,,,,,,,
240,NW,T2,3,11.8,,0,0,,,,,,,
240,NW,T2,4,4.3,,0,0,,,,,,,
241,W,T6,1,1,,0,0,Not sure why this one is so short--maybe exclude this?,,,,,,
242,NW,T2,1,10.6,,0,0,,,,,,,
242,NW,T2,2,11.8,,0,0,,,,,,,
242,NW,T2,3,11.8,,0,0,,,,,,,
242,NW,T2,4,11.8,,0,0,,,,,,,
242,NW,T2,5,0.5,,0,0,,,,,,,
242,W,T2,1,16.4,14:46:48,0,2,Very bad angle. Also almost no algae it seems? Mainly Halimeda? Bigger yellow damsel bites--first 2 I think are in the realm of the algae but then on the mesh,,,,,,
242,W,T2,2,17.4,14:41:08,0,2,"Idk if we should be including bites on the mesh? Haven't been but in a way that's probably a similar metric, especially since the algae is so in the mesh? Could go back and do that.. I think these ones might be on the algae, but just a general thought",,,,,,
242,W,T2,2,17.4,14:48:58,0,1,Big yellow damsel,,,,,,
242,W,T2,3,12.3,14:39:35,0,2,These might have been on the mesh but can't tell,,,,,,
242,W,T2,3,12.3,14:39:40,0,1,In the actual algae,,,,,,
